Phase 0,Phase 1,Phase 2,Phase 3,Phase 4,f_score,mse,epe,accuracy,jaccard,file,pel
8.62,459.81,258.39,13.53,0.0,0.25548660511578625,0.028451616634854533,1.4510184287099903,0.9715483833651455,0.8535484990456359,rose,pelBase
5.49,438.05,488.2,23.7,8.5,0.24502327423987322,0.04409161894846434,1.0691489361702127,0.9559083810515356,0.8603837471783295,saint,pelModificato
13.45,497.3,600.63,23.17,0.0,0.24763406940063087,0.04414367516918272,1.0617707618393961,0.9558563248308173,0.8586858685868587,saint,pelBase
5.49,458.72,953.3,78.51,16.38,0.20313282311708747,0.07215626841795066,2.7671615463765984,0.9278437315820494,0.8869516758219886,worm,pelModificato
15.65,551.44,1240.03,52.64,14.51,0.2041308822485627,0.07262258664127823,2.749385038344668,0.9273774133587218,0.886333096197929,worm,pelBase
19.07,821.93,1790.53,94.64,15.64,0.19674372890047434,0.07170486450195312,1.9037475693830652,0.9282951354980469,0.8908953030949334,lena,pelModificato
8.37,965.46,1869.58,76.69,17.09,0.19839713530565264,0.0717315673828125,1.9072201213613578,0.9282684326171875,0.8898774312621267,lena,pelBase
17.45,437.9,468.05,31.39,0.0,0.2629752676264305,0.06013855421686747,1.5842055185537582,0.9398614457831326,0.8486059163549813,apartment,pelModificato
12.84,482.71,492.33,15.61,0.0,0.26174002649786543,0.06042168674698795,1.596487915407855,0.939578313253012,0.8494241192411924,apartment,pelBase
11.8,421.25,322.61,15.62,0.0,0.350398428119201,0.03442072994389496,0.867627072574069,0.965579270056105,0.7875860243515087,birds,pelModificato
6.63,477.59,323.03,13.67,2.51,0.3512396694214876,0.03450749031175892,0.8742595584275713,0.9654925096882411,0.786967418546366,birds,pelBase
37.99,1390.43,3006.09,158.11,26.37,0.235687292732461,0.05735146604938272,2.1926354419356846,0.9426485339506173,0.8664141046189713,cityscapes,pelModificato
32.96,1596.97,2465.69,129.17,34.17,0.24123616236162362,0.057118055555555554,2.1738674237748428,0.9428819444444444,0.8628376606346708,cityscapes,pelBase
15.65,1596.11,4823.42,149.03,29.3,0.28758973617113615,0.07599729938271604,1.5235051719788075,0.924002700617284,0.8320555872352109,kitchen,pelModificato
31.38,1796.77,3740.92,110.61,31.6,0.2867566054432825,0.07618248456790123,1.524652020794902,0.9238175154320988,0.832623545285883,kitchen,pelBase
